"165","216","3","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
0,10,60,4,2,0,106,3,30,14,10,23,0,0,6,0,"2023-04-21 13:00:01","1048","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1048/LRP.json"
1,16,64,8,2,2,96,3,26,14,9,31,0,0,8,0,"2023-04-20 10:25:02","1049","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1049/LRP.json"
3,13,64,3,4,2,105,3,29,18,11,20,0,0,4,0,"2023-04-20 11:00:01","1050","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1050/LRP.json"
1,9,67,3,1,2,85,3,32,10,5,36,0,0,3,0,"2023-04-20 10:25:02","1051","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1051/LRP.json"
0,9,79,3,1,0,85,2,26,15,11,29,0,0,2,0,"2023-04-20 12:00:01","1052","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1052/LRP.json"
4,18,21,6,14,1,20,19,54,59,26,7,0,0,7,0,"2023-04-20 12:25:01","1128","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1128/LRP.json"
5,24,9,11,14,4,23,7,60,54,26,7,0,0,4,0,"2023-04-20 10:25:02","1129","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1129/LRP.json"
4,17,13,14,6,3,10,13,65,54,41,9,0,0,4,0,"2023-04-20 11:25:01","1130","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1130/LRP.json"
3,13,9,13,5,7,14,11,51,65,38,10,0,0,4,0,"2023-04-20 10:25:02","1131","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1131/LRP.json"
8,20,12,6,9,2,23,18,61,56,33,4,0,0,3,0,"2023-04-20 10:25:02","1132","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1132/LRP.json"
11,24,14,10,10,3,8,5,58,54,42,7,0,0,0,0,"2023-04-20 11:00:01","1133","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1133/LRP.json"
8,15,23,13,10,4,14,9,46,62,31,6,0,0,5,0,"2023-04-20 13:00:01","1134","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1134/LRP.json"
4,17,15,13,10,2,14,10,62,60,33,9,0,0,8,0,"2023-04-21 13:00:01","1135","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1135/LRP.json"
4,23,0,11,6,2,22,8,42,68,46,5,0,0,11,0,"2023-04-21 12:00:01","1136","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1136/LRP.json"
6,29,5,7,6,1,25,9,52,55,22,9,0,0,6,0,"2023-04-20 13:00:01","1191","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1191/LRP.json"
5,26,9,6,7,3,9,5,78,55,39,5,0,0,4,0,"2023-04-20 12:25:01","1192","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1192/LRP.json"
2,12,8,9,7,0,14,7,72,57,31,11,0,0,9,0,"2023-04-20 11:25:01","1193","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1193/LRP.json"
5,20,10,10,6,4,9,12,61,43,32,8,0,0,10,0,"2023-04-20 11:25:01","1194","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1194/LRP.json"
4,18,11,11,5,6,18,14,73,46,27,8,0,0,9,0,"2023-04-20 11:25:01","1195","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1195/LRP.json"
7,22,6,24,7,6,28,8,59,52,36,12,0,0,1,0,"2023-04-20 10:25:02","1069","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1069/LRP.json"
4,18,6,19,3,3,16,26,48,55,38,30,0,0,0,0,"2023-04-22 10:00:01","1070","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1070/LRP.json"
4,34,9,18,2,3,25,17,49,54,27,8,0,0,9,0,"2023-04-20 12:25:01","1071","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1071/LRP.json"
2,26,7,25,5,3,41,9,68,44,25,10,0,0,7,0,"2023-04-20 13:00:01","1072","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1072/LRP.json"
1,11,7,9,3,3,20,6,38,37,30,6,0,0,9,0,"2023-04-21 09:25:01","1073","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1073/LRP.json"
5,20,2,13,3,1,16,5,48,33,26,2,0,0,5,0,"2023-04-22 10:50:01","1074","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1074/LRP.json"
6,24,6,6,9,0,14,3,96,33,21,7,0,0,7,0,"2023-04-20 14:00:02","1149","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1149/LRP.json"
