"165","216","424","425","426","427","428","429","430","431","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
2,17,10,6,1,17,6,81,59,27,6,0,0,8,0,"2023-04-16 21:00:01","1172","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1172/GOB.json"
6,23,9,6,3,12,10,66,46,29,10,0,0,0,10,"2023-04-16 21:00:01","1173","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1173/GOB.json"
3,24,9,7,5,15,15,75,42,45,2,0,0,4,0,"2023-04-16 21:00:01","1174","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1174/GOB.json"
5,21,14,7,5,12,12,50,53,52,6,0,0,12,1,"2023-04-16 21:45:02","1221","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1221/GOB.json"
5,34,10,11,2,32,5,32,61,46,4,0,0,6,0,"2023-04-16 21:45:02","1222","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1222/GOB.json"
3,25,14,7,5,13,11,52,59,48,7,0,0,6,3,"2023-04-16 21:35:01","1223","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1223/GOB.json"
6,19,17,6,2,8,12,68,45,46,5,0,0,12,1,"2023-04-16 21:45:02","1224","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1224/GOB.json"
5,25,4,5,2,23,9,64,51,54,5,0,0,10,0,"2023-04-16 22:05:01","1225","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1225/GOB.json"
4,21,9,6,5,21,14,59,50,44,8,0,0,5,0,"2023-04-16 21:45:02","1226","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1226/GOB.json"
4,16,14,8,2,14,12,56,55,47,12,0,0,4,0,"2023-04-16 21:35:01","1227","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1227/GOB.json"
10,28,10,2,2,15,10,42,59,60,15,0,0,12,0,"2023-04-16 21:45:02","1228","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1228/GOB.json"
3,22,6,11,4,16,12,51,58,27,10,0,0,16,0,"2023-04-16 21:35:01","1229","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1229/GOB.json"
8,23,12,9,3,14,9,62,64,50,3,0,0,7,0,"2023-04-16 21:55:01","1230","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1230/GOB.json"
4,27,7,8,1,16,10,60,51,41,4,0,0,8,0,"2023-04-16 21:55:01","1231","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1231/GOB.json"
1,25,11,8,1,27,11,65,45,39,1,0,0,10,0,"2023-04-16 21:55:01","1232","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1232/GOB.json"
