"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
10,62,3,2,0,,1,19,9,88,12,0,4,0,"2023-04-20 12:00:01","1064","https://rionegro.datosoficiales.com/resultados/RN/1/2895/2/1064/LEC.json"
13,65,1,4,0,,8,16,10,132,33,0,5,0,"2023-04-20 09:50:01","1047","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1047/LEC.json"
10,60,3,2,0,,3,28,14,112,30,0,4,0,"2023-04-21 13:00:01","1048","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1048/LEC.json"
15,67,8,3,2,,3,23,14,108,30,0,7,0,"2023-04-20 10:25:02","1049","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1049/LEC.json"
14,66,2,4,2,,3,28,16,119,21,0,4,0,"2023-04-20 11:00:01","1050","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1050/LEC.json"
9,67,2,0,0,,3,29,10,101,33,0,3,0,"2023-04-20 10:25:02","1051","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1051/LEC.json"
9,83,2,1,0,,2,25,16,14,108,0,2,0,"2023-04-20 12:00:01","1052","https://rionegro.datosoficiales.com/resultados/RN/1/2895/3/1052/LEC.json"
17,20,6,14,0,,19,55,60,45,13,0,7,0,"2023-04-20 12:25:01","1128","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1128/LEC.json"
24,9,11,13,3,,7,57,55,49,16,0,4,0,"2023-04-20 10:25:02","1129","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1129/LEC.json"
17,13,14,6,3,,12,64,54,52,14,0,4,0,"2023-04-20 11:25:01","1130","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1130/LEC.json"
13,9,13,5,7,,12,50,66,52,12,0,4,0,"2023-04-20 10:25:02","1131","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1131/LEC.json"
21,12,6,9,2,,17,61,56,56,12,0,3,0,"2023-04-20 10:25:02","1132","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1132/LEC.json"
24,15,10,10,3,,5,59,54,50,16,0,0,0,"2023-04-20 11:00:01","1133","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1133/LEC.json"
16,24,12,10,4,,10,46,61,44,13,0,6,0,"2023-04-20 13:00:01","1134","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1134/LEC.json"
17,16,12,10,2,,10,62,60,48,42,0,8,0,"2023-04-21 13:00:01","1135","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1135/LEC.json"
22,0,11,6,2,,8,42,68,67,11,0,11,0,"2023-04-21 12:00:01","1136","https://rionegro.datosoficiales.com/resultados/RN/1/2903/1/1136/LEC.json"
29,5,7,6,2,,9,53,55,43,17,0,6,0,"2023-04-20 13:00:01","1191","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1191/LEC.json"
26,9,6,6,4,,5,76,56,49,9,0,5,0,"2023-04-20 12:25:01","1192","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1192/LEC.json"
12,8,9,8,0,,7,70,58,47,11,0,9,0,"2023-04-20 11:25:01","1193","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1193/LEC.json"
21,10,11,4,3,,12,59,43,40,17,0,10,0,"2023-04-20 11:25:01","1194","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1194/LEC.json"
17,11,11,5,6,,14,75,49,47,6,0,9,0,"2023-04-20 11:25:01","1195","https://rionegro.datosoficiales.com/resultados/RN/1/2903/10/1195/LEC.json"
23,6,23,8,6,,8,58,53,62,20,0,1,0,"2023-04-20 10:25:02","1069","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1069/LEC.json"
19,8,19,3,3,,26,48,53,54,30,0,0,0,"2023-04-22 10:00:01","1070","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1070/LEC.json"
34,9,20,2,3,,17,48,51,52,14,0,9,0,"2023-04-20 12:25:01","1071","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1071/LEC.json"
28,7,26,5,3,,9,65,42,64,16,0,7,0,"2023-04-20 13:00:01","1072","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1072/LEC.json"
11,8,9,3,3,,6,36,37,50,8,0,9,0,"2023-04-21 09:25:01","1073","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1073/LEC.json"
20,2,13,3,1,,5,48,31,42,9,0,5,0,"2023-04-22 10:50:01","1074","https://rionegro.datosoficiales.com/resultados/RN/1/2903/11/1074/LEC.json"
27,5,6,8,0,,3,95,33,37,11,0,7,0,"2023-04-20 14:00:02","1149","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1149/LEC.json"
21,11,8,10,1,,8,86,33,32,11,0,4,0,"2023-04-20 13:00:01","1150","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1150/LEC.json"
14,9,10,5,4,,6,101,29,37,16,0,0,0,"2023-04-21 13:25:01","1151","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1151/LEC.json"
35,6,7,8,2,,5,64,35,39,16,0,4,0,"2023-04-20 11:25:01","1152","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1152/LEC.json"
16,9,7,5,3,,9,90,28,37,15,0,6,0,"2023-04-21 11:25:01","1153","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1153/LEC.json"
25,6,10,3,4,,7,92,33,21,13,0,3,0,"2023-04-20 13:25:01","1154","https://rionegro.datosoficiales.com/resultados/RN/1/2903/12/1154/LEC.json"
17,17,12,13,1,,10,60,56,44,15,0,5,0,"2023-04-20 10:25:02","1123","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1123/LEC.json"
25,17,15,9,1,,5,55,47,50,16,0,14,0,"2023-04-20 11:00:01","1124","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1124/LEC.json"
30,13,7,7,3,,7,42,61,60,12,0,4,0,"2023-04-21 13:25:01","1125","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1125/LEC.json"
29,24,17,9,7,,10,47,57,52,8,0,6,0,"2023-04-20 10:25:02","1126","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1126/LEC.json"
24,13,12,3,2,,12,51,56,60,16,0,10,0,"2023-04-21 13:25:01","1127","https://rionegro.datosoficiales.com/resultados/RN/1/2903/13/1127/LEC.json"
