"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
0,4,8,58,8,150,17,1,0,0,4,0,"2019-04-12 17:35:02","509","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/509/GOB.json"
4,7,3,75,5,113,20,7,0,0,7,0,"2019-04-12 17:35:02","510","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/510/GOB.json"
2,6,3,50,4,130,24,0,0,0,5,0,"2019-04-12 17:35:02","511","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/511/GOB.json"
2,1,6,54,13,102,40,2,0,0,4,0,"2019-04-12 17:35:02","512","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/512/GOB.json"
7,5,6,62,5,122,17,6,0,0,9,0,"2019-04-12 17:35:02","513","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/513/GOB.json"
5,0,2,81,9,106,27,3,0,0,6,0,"2019-04-12 17:35:02","514","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/514/GOB.json"
5,1,4,42,12,113,33,9,0,0,0,0,"2019-04-12 17:35:02","515","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/515/GOB.json"
7,2,2,62,9,118,25,2,0,0,5,0,"2019-04-12 17:35:02","516","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/516/GOB.json"
1,5,12,68,7,107,23,3,0,0,4,0,"2019-04-12 17:35:02","517","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/517/GOB.json"
4,2,6,49,9,95,22,6,0,0,3,0,"2019-04-12 17:35:02","518","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/518/GOB.json"
0,3,5,50,11,85,30,2,0,0,11,0,"2019-04-12 17:35:02","519","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/519/GOB.json"
1,4,5,52,7,98,28,3,0,0,3,0,"2019-04-12 17:35:02","520","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/520/GOB.json"
6,2,4,46,3,110,29,3,0,0,10,0,"2019-04-12 17:35:02","521","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/521/GOB.json"
6,4,1,54,5,77,29,1,0,0,8,0,"2019-04-12 17:35:02","522","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/522/GOB.json"
2,2,1,45,8,86,24,3,0,0,8,0,"2019-04-12 17:35:02","523","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/523/GOB.json"
1,2,3,41,8,99,30,5,0,0,6,0,"2019-04-12 17:35:02","524","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/524/GOB.json"
3,3,4,41,9,96,26,1,0,0,3,0,"2019-04-12 17:35:02","525","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/19/525/GOB.json"
4,5,4,106,16,59,23,5,0,0,8,0,"2019-04-12 17:35:02","377","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/377/GOB.json"
7,6,2,100,8,73,30,0,0,0,2,0,"2019-04-12 17:35:02","378","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/378/GOB.json"
1,4,1,80,9,79,29,2,0,0,9,0,"2019-04-12 17:35:02","379","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/379/GOB.json"
4,7,1,75,19,65,21,3,0,0,10,0,"2019-04-12 17:35:02","380","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/380/GOB.json"
2,1,6,77,7,73,32,2,0,0,5,0,"2019-04-12 17:35:02","381","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/381/GOB.json"
4,4,3,94,7,78,25,4,0,0,7,0,"2019-04-12 17:35:02","382","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/382/GOB.json"
2,5,1,95,15,73,28,3,0,0,8,0,"2019-04-12 17:35:02","383","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/383/GOB.json"
3,4,2,86,12,76,17,2,0,0,5,0,"2019-04-12 17:35:02","384","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/384/GOB.json"
1,5,0,82,10,69,26,4,0,0,6,0,"2019-04-12 17:35:02","385","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/2/385/GOB.json"
3,8,9,66,8,117,17,6,0,0,1,0,"2019-04-12 17:35:02","526","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/526/GOB.json"
2,2,5,72,3,118,19,0,0,0,7,0,"2019-04-12 17:35:02","527","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/527/GOB.json"
4,1,8,66,9,122,16,5,0,0,5,0,"2019-04-12 17:35:02","528","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/528/GOB.json"
2,3,6,68,8,115,15,3,0,0,5,0,"2019-04-12 17:35:02","529","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/529/GOB.json"
2,6,12,65,8,124,10,0,0,0,3,0,"2019-04-12 17:35:02","530","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/530/GOB.json"
6,2,8,79,9,114,19,0,0,0,3,0,"2019-04-12 17:35:02","531","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/20/531/GOB.json"
6,3,2,61,10,91,31,2,0,0,3,0,"2019-04-12 17:35:02","532","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/532/GOB.json"
2,2,7,58,12,74,23,11,0,0,7,0,"2019-04-12 17:35:02","533","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/533/GOB.json"
6,2,3,55,4,110,37,1,0,0,4,0,"2019-04-12 17:35:02","534","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/534/GOB.json"
4,1,5,65,4,76,22,5,0,0,6,0,"2019-04-12 17:35:02","535","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/21/535/GOB.json"
