"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
4,4,23,97,5,107,12,4,0,0,10,0,"2019-04-12 17:35:02","476","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/476/LRP.json"
2,2,12,95,15,114,10,10,0,0,5,0,"2019-04-12 17:35:02","477","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/477/LRP.json"
1,7,10,92,6,106,10,8,0,0,13,0,"2019-04-12 17:35:02","478","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/478/LRP.json"
6,4,14,88,10,103,8,5,0,0,8,0,"2019-04-12 17:35:02","479","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/479/LRP.json"
7,5,14,101,12,107,5,6,0,0,6,0,"2019-04-12 17:35:02","480","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/480/LRP.json"
2,5,19,82,16,93,9,17,0,0,10,0,"2019-04-12 17:35:02","481","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/481/LRP.json"
7,6,18,98,10,110,14,7,0,0,3,0,"2019-04-12 17:35:02","482","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/482/LRP.json"
4,4,20,70,8,121,6,3,0,0,6,0,"2019-04-12 17:35:02","483","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/483/LRP.json"
2,5,20,96,12,101,5,0,0,0,10,0,"2019-04-12 17:35:02","484","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/484/LRP.json"
7,8,20,90,16,116,3,6,0,0,7,0,"2019-04-12 17:35:02","485","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/485/LRP.json"
2,3,12,94,0,123,11,6,0,0,4,0,"2019-04-12 17:35:02","486","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/486/LRP.json"
1,2,14,95,13,118,10,0,0,0,5,0,"2019-04-12 17:35:02","487","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/13/487/LRP.json"
1,3,9,96,7,98,10,11,0,0,2,0,"2019-04-12 17:35:02","488","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/14/488/LRP.json"
