"102","104","1539","1547","1548","1549","1550","20","30","31","524","8","BLC","IMP","NUL","REC","hora_proceso","numero","url"
0,2,0,5,43,18,130,4,19,0,10,1,11,0,7,0,"2019-05-12 23:20:01","1212","http://www.datosoficiales.com/resultados/CO/1/112/106/1212/GOB.json"
3,1,1,2,39,8,134,3,19,0,7,0,9,0,4,2,"2019-05-12 23:40:01","1213","http://www.datosoficiales.com/resultados/CO/1/112/106/1213/GOB.json"
1,7,1,10,41,11,110,3,28,1,13,1,10,0,5,0,"2019-05-12 23:10:01","1214","http://www.datosoficiales.com/resultados/CO/1/112/106/1214/GOB.json"
2,3,3,9,42,22,117,8,18,2,9,0,10,0,5,0,"2019-05-12 22:45:02","1215","http://www.datosoficiales.com/resultados/CO/1/112/106/1215/GOB.json"
0,0,1,3,44,10,108,2,21,0,12,0,20,0,8,0,"2019-05-12 22:25:01","1216","http://www.datosoficiales.com/resultados/CO/1/112/106/1216/GOB.json"
4,0,0,1,46,13,111,12,25,0,10,0,12,0,5,0,"2019-05-12 22:45:02","1217","http://www.datosoficiales.com/resultados/CO/1/112/106/1217/GOB.json"
2,1,2,3,32,13,111,1,22,1,18,0,14,0,7,0,"2019-05-12 22:25:01","1218","http://www.datosoficiales.com/resultados/CO/1/112/106/1218/GOB.json"
0,5,0,4,47,6,117,0,23,0,16,0,13,0,8,0,"2019-05-12 22:40:01","1219","http://www.datosoficiales.com/resultados/CO/1/112/107/1219/GOB.json"
0,1,0,4,23,9,88,2,19,1,7,0,6,0,77,0,"2019-05-12 21:25:01","1220","http://www.datosoficiales.com/resultados/CO/1/112/107/1220/GOB.json"
0,5,0,3,48,17,115,0,20,1,7,0,14,0,2,2,"2019-05-12 23:15:01","1221","http://www.datosoficiales.com/resultados/CO/1/112/107/1221/GOB.json"
1,2,1,0,49,7,119,4,16,0,16,0,4,0,0,0,"2019-05-12 22:15:01","1222","http://www.datosoficiales.com/resultados/CO/1/112/107/1222/GOB.json"
3,5,0,5,33,15,127,3,15,0,5,0,9,0,4,1,"2019-05-12 23:15:01","1223","http://www.datosoficiales.com/resultados/CO/1/112/107/1223/GOB.json"
0,2,0,4,47,15,112,2,22,1,19,0,10,0,6,0,"2019-05-12 22:45:02","1224","http://www.datosoficiales.com/resultados/CO/1/112/107/1224/GOB.json"
1,2,0,4,65,11,96,3,21,1,10,0,3,0,6,0,"2019-05-12 20:55:01","1225","http://www.datosoficiales.com/resultados/CO/1/112/107/1225/GOB.json"
2,3,0,1,34,9,133,2,14,1,17,0,12,0,3,2,"2019-05-12 22:30:01","1226","http://www.datosoficiales.com/resultados/CO/1/112/107/1226/GOB.json"
2,6,3,1,48,4,132,3,18,1,18,0,5,0,3,0,"2019-05-12 22:30:01","1227","http://www.datosoficiales.com/resultados/CO/1/112/107/1227/GOB.json"
2,5,1,3,51,11,119,1,20,0,11,1,7,0,5,0,"2019-05-12 21:25:01","1228","http://www.datosoficiales.com/resultados/CO/1/112/108/1228/GOB.json"
1,0,0,5,39,10,130,5,21,0,14,1,5,0,4,0,"2019-05-12 21:35:02","1229","http://www.datosoficiales.com/resultados/CO/1/112/108/1229/GOB.json"
0,3,1,5,42,11,107,1,18,0,17,0,13,0,15,0,"2019-05-12 22:05:01","1230","http://www.datosoficiales.com/resultados/CO/1/112/108/1230/GOB.json"
2,4,0,8,54,13,103,1,27,0,19,0,7,0,10,0,"2019-05-12 22:55:02","1231","http://www.datosoficiales.com/resultados/CO/1/112/108/1231/GOB.json"
1,7,0,9,59,12,99,3,35,1,5,0,3,0,6,2,"2019-05-12 23:10:01","1232","http://www.datosoficiales.com/resultados/CO/1/112/108/1232/GOB.json"
0,2,0,6,44,7,112,1,21,0,24,0,8,0,5,0,"2019-05-12 21:40:01","1233","http://www.datosoficiales.com/resultados/CO/1/112/108/1233/GOB.json"
15,3,0,6,46,16,117,5,20,2,10,0,5,0,3,0,"2019-05-12 22:25:01","1234","http://www.datosoficiales.com/resultados/CO/1/112/108/1234/GOB.json"
0,1,0,0,35,10,129,4,16,2,16,1,12,0,8,5,"2019-05-12 22:45:02","1235","http://www.datosoficiales.com/resultados/CO/1/112/108/1235/GOB.json"
1,2,1,8,37,27,92,3,14,0,21,1,17,0,11,0,"2019-05-12 21:50:01","1236","http://www.datosoficiales.com/resultados/CO/1/112/108/1236/GOB.json"
4,8,0,8,36,21,114,7,23,1,19,0,7,0,9,0,"2019-05-12 22:10:01","1237","http://www.datosoficiales.com/resultados/CO/1/112/108/1237/GOB.json"
1,6,0,3,45,6,144,3,32,0,10,3,12,2,12,0,"2019-05-12 22:50:01","1238","http://www.datosoficiales.com/resultados/CO/1/112/109/1238/GOB.json"
1,0,0,6,27,6,164,5,32,1,12,0,9,0,19,0,"2019-05-12 22:35:01","1239","http://www.datosoficiales.com/resultados/CO/1/112/109/1239/GOB.json"
0,4,1,2,28,12,145,7,18,2,15,0,4,0,19,13,"2019-05-12 23:05:01","1240","http://www.datosoficiales.com/resultados/CO/1/112/109/1240/GOB.json"
1,1,0,8,30,6,146,1,20,0,18,0,19,0,9,1,"2019-05-12 23:20:01","1241","http://www.datosoficiales.com/resultados/CO/1/112/109/1241/GOB.json"
0,7,1,7,45,10,147,5,31,1,13,2,10,0,9,0,"2019-05-12 22:50:01","1242","http://www.datosoficiales.com/resultados/CO/1/112/109/1242/GOB.json"
1,6,0,6,44,10,135,3,24,1,9,0,12,0,8,0,"2019-05-12 23:00:01","1243","http://www.datosoficiales.com/resultados/CO/1/112/109/1243/GOB.json"
4,8,1,2,31,4,160,2,23,0,8,0,13,0,13,0,"2019-05-12 23:40:01","1244","http://www.datosoficiales.com/resultados/CO/1/112/109/1244/GOB.json"
0,5,1,2,40,4,155,5,27,0,13,0,14,0,12,0,"2019-05-12 22:30:01","1245","http://www.datosoficiales.com/resultados/CO/1/112/109/1245/GOB.json"
0,1,0,1,49,4,153,2,25,1,8,1,12,0,8,0,"2019-05-12 23:10:01","1246","http://www.datosoficiales.com/resultados/CO/1/112/109/1246/GOB.json"
3,4,2,12,67,12,81,1,15,1,16,0,2,0,3,1,"2019-05-12 22:10:01","126","http://www.datosoficiales.com/resultados/CO/1/112/11/126/GOB.json"
1,4,0,5,62,11,76,1,18,0,20,0,5,0,12,1,"2019-05-12 22:45:02","127","http://www.datosoficiales.com/resultados/CO/1/112/11/127/GOB.json"
1,3,0,9,52,13,78,2,27,1,23,1,3,0,6,0,"2019-05-12 23:30:01","128","http://www.datosoficiales.com/resultados/CO/1/112/11/128/GOB.json"
2,3,1,8,67,20,79,1,20,0,15,0,3,0,9,0,"2019-05-12 22:40:01","129","http://www.datosoficiales.com/resultados/CO/1/112/11/129/GOB.json"
2,2,1,9,73,14,93,2,17,1,11,0,5,1,12,0,"2019-05-12 22:30:01","130","http://www.datosoficiales.com/resultados/CO/1/112/11/130/GOB.json"
4,3,0,6,60,17,89,5,24,2,12,0,8,0,4,0,"2019-05-12 21:50:01","131","http://www.datosoficiales.com/resultados/CO/1/112/11/131/GOB.json"
