"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia de Río Negro","RN"
"Departamento","Alto Valle Centro","RN.1"
"Localidad","Cerro Policia","RN.1.2848"
"Mesa","1146","RN.1.2903.22.1146"
"Mesa","1147","RN.1.2903.22.1147"
"Mesa","1148","RN.1.2903.22.1148"
"Establecimiento","Escuela Primaria N 323","RN.1.2903.23"
"Mesa","1247","RN.1.2903.23.1247"
"Mesa","1248","RN.1.2903.23.1248"
"Mesa","1249","RN.1.2903.23.1249"
"Mesa","1250","RN.1.2903.23.1250"
"Mesa","1251","RN.1.2903.23.1251"
"Mesa","1252","RN.1.2903.23.1252"
"Mesa","1253","RN.1.2903.23.1253"
"Establecimiento","Escuela Primaria N 344","RN.1.2903.24"
"Mesa","1183","RN.1.2903.24.1183"
"Mesa","1184","RN.1.2903.24.1184"
"Mesa","1185","RN.1.2903.24.1185"
"Mesa","1186","RN.1.2903.24.1186"
"Mesa","1187","RN.1.2903.24.1187"
"Mesa","1188","RN.1.2903.24.1188"
"Mesa","1189","RN.1.2903.24.1189"
"Mesa","1190","RN.1.2903.24.1190"
"Establecimiento","Escuela Primaria N 350","RN.1.2903.25"
"Mesa","1301","RN.1.2903.25.1301"
"Mesa","1302","RN.1.2903.25.1302"
"Mesa","1303","RN.1.2903.25.1303"
"Mesa","1304","RN.1.2903.25.1304"
"Mesa","1305","RN.1.2903.25.1305"
"Mesa","1306","RN.1.2903.25.1306"
"Mesa","1307","RN.1.2903.25.1307"
"Mesa","1308","RN.1.2903.25.1308"
"Mesa","1309","RN.1.2903.25.1309"
"Establecimiento","Escuela Primaria N 357","RN.1.2903.26"
"Mesa","1257","RN.1.2903.26.1257"
"Mesa","1258","RN.1.2903.26.1258"
"Mesa","1259","RN.1.2903.26.1259"
"Mesa","1260","RN.1.2903.26.1260"
"Mesa","1261","RN.1.2903.26.1261"
"Mesa","1262","RN.1.2903.26.1262"
"Mesa","1263","RN.1.2903.26.1263"
"Mesa","1264","RN.1.2903.26.1264"
"Mesa","1265","RN.1.2903.26.1265"
