"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Provincia del Neuquén","NE"
"Departamento","Confluencia","NE.1"
"Localidad","Cutral Co","NE.1.10"
"Mesa","580","NE.1.22.36.580"
"Mesa","581","NE.1.22.36.581"
"Mesa","582","NE.1.22.36.582"
"Mesa","583","NE.1.22.36.583"
"Establecimiento","ESCUELA 200","NE.1.22.37"
"Mesa","498","NE.1.22.37.498"
"Mesa","499","NE.1.22.37.499"
"Mesa","500","NE.1.22.37.500"
"Mesa","501","NE.1.22.37.501"
"Mesa","502","NE.1.22.37.502"
"Mesa","503","NE.1.22.37.503"
"Establecimiento","ESCUELA 298","NE.1.22.38"
"Mesa","544","NE.1.22.38.544"
"Mesa","545","NE.1.22.38.545"
"Mesa","546","NE.1.22.38.546"
"Mesa","547","NE.1.22.38.547"
"Mesa","548","NE.1.22.38.548"
"Mesa","549","NE.1.22.38.549"
"Establecimiento","ESCUELA 245","NE.1.22.39"
"Mesa","633","NE.1.22.39.633"
"Mesa","634","NE.1.22.39.634"
"Mesa","635","NE.1.22.39.635"
"Mesa","636","NE.1.22.39.636"
"Mesa","637","NE.1.22.39.637"
"Mesa","638","NE.1.22.39.638"
"Establecimiento","E.P.E.T 14","NE.1.22.4"
"Mesa","169","NE.1.22.4.169"
"Mesa","170","NE.1.22.4.170"
"Mesa","171","NE.1.22.4.171"
"Mesa","172","NE.1.22.4.172"
"Mesa","173","NE.1.22.4.173"
"Establecimiento","C.P.E.M. 49","NE.1.22.40"
"Mesa","639","NE.1.22.40.639"
"Mesa","640","NE.1.22.40.640"
"Mesa","641","NE.1.22.40.641"
"Mesa","642","NE.1.22.40.642"
"Mesa","643","NE.1.22.40.643"
"Establecimiento","C.P.E.M 29","NE.1.22.41"
"Mesa","619","NE.1.22.41.619"
"Mesa","620","NE.1.22.41.620"
"Mesa","621","NE.1.22.41.621"
"Mesa","622","NE.1.22.41.622"
"Mesa","623","NE.1.22.41.623"
"Mesa","624","NE.1.22.41.624"
"Mesa","625","NE.1.22.41.625"
"Establecimiento","ESCUELA 103","NE.1.22.42"
"Mesa","1","NE.1.22.42.1"
"Mesa","2","NE.1.22.42.2"
"Mesa","3","NE.1.22.42.3"
"Mesa","4","NE.1.22.42.4"
"Mesa","5","NE.1.22.42.5"
"Establecimiento","ESCUELA 136","NE.1.22.43"
"Mesa","10","NE.1.22.43.10"
"Mesa","11","NE.1.22.43.11"
"Mesa","6","NE.1.22.43.6"
"Mesa","7","NE.1.22.43.7"
"Mesa","8","NE.1.22.43.8"
"Mesa","9","NE.1.22.43.9"
"Establecimiento","JEAN PIAGET","NE.1.22.44"
"Mesa","19","NE.1.22.44.19"
"Mesa","20","NE.1.22.44.20"
"Mesa","21","NE.1.22.44.21"
"Mesa","22","NE.1.22.44.22"
"Mesa","23","NE.1.22.44.23"
"Mesa","24","NE.1.22.44.24"
"Mesa","25","NE.1.22.44.25"
"Mesa","26","NE.1.22.44.26"
"Establecimiento","ESCUELA 67","NE.1.22.45"
"Mesa","100","NE.1.22.45.100"
"Mesa","101","NE.1.22.45.101"
"Mesa","102","NE.1.22.45.102"
"Mesa","103","NE.1.22.45.103"
"Mesa","104","NE.1.22.45.104"
"Mesa","99","NE.1.22.45.99"
"Establecimiento","COL. SAN JOSE OBRERO","NE.1.22.46"
"Mesa","105","NE.1.22.46.105"
"Mesa","106","NE.1.22.46.106"
"Mesa","107","NE.1.22.46.107"
"Mesa","108","NE.1.22.46.108"
"Mesa","109","NE.1.22.46.109"
"Establecimiento","ESCUELA 16","NE.1.22.47"
"Mesa","258","NE.1.22.47.258"
"Mesa","259","NE.1.22.47.259"
"Mesa","260","NE.1.22.47.260"
"Mesa","261","NE.1.22.47.261"
"Establecimiento","ESCUELA 140","NE.1.22.48"
"Mesa","262","NE.1.22.48.262"
"Mesa","263","NE.1.22.48.263"
"Mesa","264","NE.1.22.48.264"
"Mesa","265","NE.1.22.48.265"
"Mesa","266","NE.1.22.48.266"
"Establecimiento","COLEGIO DON BOSCO","NE.1.22.49"
"Mesa","272","NE.1.22.49.272"
"Mesa","273","NE.1.22.49.273"
"Mesa","274","NE.1.22.49.274"
"Mesa","275","NE.1.22.49.275"
"Mesa","276","NE.1.22.49.276"
"Mesa","277","NE.1.22.49.277"
"Mesa","278","NE.1.22.49.278"
"Mesa","279","NE.1.22.49.279"
"Mesa","280","NE.1.22.49.280"
"Mesa","281","NE.1.22.49.281"
"Establecimiento","ESCUELA 118","NE.1.22.5"
"Mesa","174","NE.1.22.5.174"
"Mesa","175","NE.1.22.5.175"
"Mesa","176","NE.1.22.5.176"
"Mesa","177","NE.1.22.5.177"
"Mesa","178","NE.1.22.5.178"
"Mesa","179","NE.1.22.5.179"
"Mesa","180","NE.1.22.5.180"
"Establecimiento","ESCUELA 132","NE.1.22.50"
"Mesa","282","NE.1.22.50.282"
"Mesa","283","NE.1.22.50.283"
"Mesa","284","NE.1.22.50.284"
"Mesa","285","NE.1.22.50.285"
"Mesa","286","NE.1.22.50.286"
"Mesa","287","NE.1.22.50.287"
"Mesa","288","NE.1.22.50.288"
"Mesa","289","NE.1.22.50.289"
"Establecimiento","ESCUELA 20","NE.1.22.51"
"Mesa","290","NE.1.22.51.290"
"Mesa","291","NE.1.22.51.291"
"Mesa","292","NE.1.22.51.292"
"Mesa","293","NE.1.22.51.293"
"Mesa","294","NE.1.22.51.294"
"Mesa","295","NE.1.22.51.295"
"Mesa","296","NE.1.22.51.296"
"Establecimiento","E.P.E.T 8","NE.1.22.52"
"Mesa","56","NE.1.22.52.56"
"Mesa","57","NE.1.22.52.57"
"Mesa","58","NE.1.22.52.58"
"Mesa","59","NE.1.22.52.59"
"Mesa","60","NE.1.22.52.60"
"Mesa","61","NE.1.22.52.61"
"Mesa","62","NE.1.22.52.62"
"Mesa","63","NE.1.22.52.63"
"Establecimiento","ESCUELA 207","NE.1.22.53"
"Mesa","64","NE.1.22.53.64"
"Mesa","65","NE.1.22.53.65"
"Mesa","66","NE.1.22.53.66"
"Mesa","67","NE.1.22.53.67"
"Mesa","68","NE.1.22.53.68"
"Mesa","69","NE.1.22.53.69"
"Mesa","70","NE.1.22.53.70"
"Establecimiento","ESCUELA 56","NE.1.22.54"
"Mesa","71","NE.1.22.54.71"
"Mesa","72","NE.1.22.54.72"
"Mesa","73","NE.1.22.54.73"
"Mesa","74","NE.1.22.54.74"
"Mesa","75","NE.1.22.54.75"
"Mesa","76","NE.1.22.54.76"
"Mesa","77","NE.1.22.54.77"
"Establecimiento","ESCUELA 82","NE.1.22.55"
"Mesa","78","NE.1.22.55.78"
"Mesa","79","NE.1.22.55.79"
"Mesa","80","NE.1.22.55.80"
"Mesa","81","NE.1.22.55.81"
"Mesa","82","NE.1.22.55.82"
"Mesa","83","NE.1.22.55.83"
"Mesa","84","NE.1.22.55.84"
"Mesa","85","NE.1.22.55.85"
"Establecimiento","ESCUELA 180","NE.1.22.56"
"Mesa","43","NE.1.22.56.43"
"Mesa","44","NE.1.22.56.44"
"Mesa","45","NE.1.22.56.45"
"Mesa","46","NE.1.22.56.46"
"Mesa","47","NE.1.22.56.47"
"Mesa","48","NE.1.22.56.48"
"Establecimiento","C.P.E.M 19","NE.1.22.57"
"Mesa","110","NE.1.22.57.110"
"Mesa","111","NE.1.22.57.111"
"Mesa","112","NE.1.22.57.112"
"Mesa","113","NE.1.22.57.113"
"Mesa","114","NE.1.22.57.114"
"Establecimiento","ESCUELA 235","NE.1.22.58"
"Mesa","115","NE.1.22.58.115"
"Mesa","116","NE.1.22.58.116"
"Mesa","117","NE.1.22.58.117"
"Mesa","118","NE.1.22.58.118"
"Mesa","119","NE.1.22.58.119"
"Mesa","120","NE.1.22.58.120"
"Mesa","121","NE.1.22.58.121"
"Establecimiento","INST. FORM. DOCENTE 6","NE.1.22.59"
"Mesa","122","NE.1.22.59.122"
"Mesa","123","NE.1.22.59.123"
"Mesa","124","NE.1.22.59.124"
"Mesa","125","NE.1.22.59.125"
"Mesa","126","NE.1.22.59.126"
"Mesa","127","NE.1.22.59.127"
"Establecimiento","C.P.E.M 64","NE.1.22.6"
"Mesa","96","NE.1.22.6.96"
"Mesa","97","NE.1.22.6.97"
"Mesa","98","NE.1.22.6.98"
"Establecimiento","ESCUELA STA GENOVEVA","NE.1.22.60"
"Mesa","128","NE.1.22.60.128"
"Mesa","129","NE.1.22.60.129"
"Mesa","130","NE.1.22.60.130"
"Mesa","131","NE.1.22.60.131"
"Mesa","132","NE.1.22.60.132"
"Establecimiento","ESCUELA 61","NE.1.22.61"
"Mesa","7000","NE.1.22.61.7000"
"Mesa","7001","NE.1.22.61.7001"
"Mesa","7002","NE.1.22.61.7002"
"Mesa","7003","NE.1.22.61.7003"
"Mesa","7004","NE.1.22.61.7004"
"Mesa","7005","NE.1.22.61.7005"
"Mesa","7006","NE.1.22.61.7006"
"Mesa","7007","NE.1.22.61.7007"
"Mesa","7008","NE.1.22.61.7008"
"Mesa","7009","NE.1.22.61.7009"
"Mesa","7010","NE.1.22.61.7010"
"Establecimiento","E.P.E.T. 6","NE.1.22.62"
"Mesa","267","NE.1.22.62.267"
"Mesa","268","NE.1.22.62.268"
"Mesa","269","NE.1.22.62.269"
"Mesa","270","NE.1.22.62.270"
"Mesa","271","NE.1.22.62.271"
"Establecimiento","ESCUELA 196","NE.1.22.63"
"Mesa","537","NE.1.22.63.537"
"Mesa","538","NE.1.22.63.538"
"Mesa","539","NE.1.22.63.539"
"Mesa","540","NE.1.22.63.540"
"Mesa","541","NE.1.22.63.541"
"Mesa","542","NE.1.22.63.542"
"Mesa","543","NE.1.22.63.543"
"Establecimiento","ESCUELA 289","NE.1.22.64"
"Mesa","437","NE.1.22.64.437"
"Mesa","438","NE.1.22.64.438"
"Mesa","439","NE.1.22.64.439"
"Mesa","440","NE.1.22.64.440"
"Mesa","441","NE.1.22.64.441"
"Establecimiento","E.P.E.T. 17","NE.1.22.65"
"Mesa","504","NE.1.22.65.504"
"Mesa","505","NE.1.22.65.505"
"Mesa","506","NE.1.22.65.506"
"Mesa","507","NE.1.22.65.507"
"Mesa","508","NE.1.22.65.508"
"Mesa","509","NE.1.22.65.509"
"Establecimiento","ESCUELA 348","NE.1.22.66"
"Mesa","526","NE.1.22.66.526"
"Mesa","527","NE.1.22.66.527"
"Mesa","528","NE.1.22.66.528"
"Mesa","529","NE.1.22.66.529"
"Mesa","530","NE.1.22.66.530"
"Establecimiento","ESCUELA 311","NE.1.22.67"
"Mesa","493","NE.1.22.67.493"
"Mesa","494","NE.1.22.67.494"
"Mesa","495","NE.1.22.67.495"
"Mesa","496","NE.1.22.67.496"
"Mesa","497","NE.1.22.67.497"
"Establecimiento","ESCUELA 312","NE.1.22.68"
"Mesa","510","NE.1.22.68.510"
"Mesa","511","NE.1.22.68.511"
"Mesa","512","NE.1.22.68.512"
"Mesa","513","NE.1.22.68.513"
"Mesa","514","NE.1.22.68.514"
"Mesa","515","NE.1.22.68.515"
