"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","919","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
2,9,2,38,45,8,24,6,6,5,8,8,3,11,3,3,5,5,8,5,6,3,12,5,4,4,9,5,0,0,"2023-09-03 18:50:01","47","https://plottier.datosoficiales.com/resultados/PL/71/47/CON.json"
1,11,1,43,50,2,23,7,7,7,5,7,5,12,2,2,7,14,4,7,4,1,7,8,10,5,1,5,0,1,"2023-09-03 18:45:01","48","https://plottier.datosoficiales.com/resultados/PL/71/48/CON.json"
5,6,5,35,29,4,14,2,4,5,2,2,7,22,8,4,3,10,9,8,15,3,13,8,8,3,2,12,0,0,"2023-09-03 18:45:01","49","https://plottier.datosoficiales.com/resultados/PL/71/49/CON.json"
3,5,2,36,46,5,24,14,5,3,7,4,8,19,5,3,6,3,3,2,7,1,5,7,2,4,1,17,0,0,"2023-09-03 18:50:01","50","https://plottier.datosoficiales.com/resultados/PL/71/50/CON.json"
1,11,4,33,48,9,25,3,11,4,3,5,3,26,5,5,4,5,3,11,7,2,13,9,6,1,4,9,0,0,"2023-09-03 18:50:01","51","https://plottier.datosoficiales.com/resultados/PL/71/51/CON.json"
3,10,4,38,39,8,21,7,5,4,4,2,3,28,5,7,3,10,6,2,3,3,9,6,3,4,8,7,0,0,"2023-09-03 18:40:01","52","https://plottier.datosoficiales.com/resultados/PL/71/52/CON.json"
3,12,3,23,48,9,22,9,9,5,5,4,2,23,7,9,7,5,15,7,4,0,15,5,4,2,7,5,0,0,"2023-09-03 18:50:01","53","https://plottier.datosoficiales.com/resultados/PL/71/53/CON.json"
2,16,0,41,44,5,31,9,7,3,5,10,4,18,1,6,5,6,10,5,3,1,2,12,8,0,7,4,0,0,"2023-09-03 18:50:01","54","https://plottier.datosoficiales.com/resultados/PL/71/54/CON.json"
2,10,3,44,53,5,16,6,4,5,6,2,5,20,5,7,8,9,8,9,6,1,6,8,12,3,12,4,0,0,"2023-09-03 18:50:01","55","https://plottier.datosoficiales.com/resultados/PL/71/55/CON.json"
1,9,6,34,50,4,18,4,3,3,14,3,4,17,5,6,4,15,5,11,4,2,10,5,13,2,4,10,0,0,"2023-09-03 18:50:01","56","https://plottier.datosoficiales.com/resultados/PL/71/56/CON.json"
4,7,4,23,48,6,18,7,21,1,5,9,7,19,2,13,9,6,4,6,3,0,8,6,4,2,6,13,0,0,"2023-09-03 18:40:01","24","https://plottier.datosoficiales.com/resultados/PL/72/24/CON.json"
3,8,4,28,42,5,25,6,17,7,8,8,6,9,1,7,4,12,6,3,1,4,13,7,5,0,6,9,0,0,"2023-09-03 18:40:01","25","https://plottier.datosoficiales.com/resultados/PL/72/25/CON.json"
4,14,2,20,44,6,17,5,17,5,9,8,5,14,0,7,10,11,2,1,6,1,10,10,4,5,6,9,0,0,"2023-09-03 18:40:01","26","https://plottier.datosoficiales.com/resultados/PL/72/26/CON.json"
3,10,4,18,36,3,25,11,12,4,7,4,4,14,3,9,12,10,5,6,3,1,10,4,8,7,4,5,0,0,"2023-09-03 18:40:01","27","https://plottier.datosoficiales.com/resultados/PL/72/27/CON.json"
2,9,2,30,40,4,17,9,4,4,4,5,7,11,0,6,12,6,3,8,3,0,9,8,6,3,8,8,0,0,"2023-09-03 18:40:01","28","https://plottier.datosoficiales.com/resultados/PL/72/28/CON.json"
0,11,2,15,34,1,29,5,7,7,6,5,13,10,5,6,3,5,3,3,9,0,10,6,12,2,5,7,0,0,"2023-09-03 18:40:01","29","https://plottier.datosoficiales.com/resultados/PL/72/29/CON.json"
1,4,1,19,20,1,4,0,8,3,3,4,2,9,2,2,0,3,3,6,4,0,8,6,3,2,3,2,0,0,"2023-09-03 18:40:01","7000","https://plottier.datosoficiales.com/resultados/PL/73/7000/CON.json"
0,6,4,13,13,2,5,2,1,3,8,4,3,10,3,2,4,4,5,5,1,0,9,5,8,1,0,0,0,0,"2023-09-03 18:40:01","7001","https://plottier.datosoficiales.com/resultados/PL/73/7001/CON.json"
2,7,1,9,15,9,4,5,1,4,2,2,3,5,2,2,1,5,2,3,3,4,4,3,3,2,5,2,0,0,"2023-09-03 18:40:01","7002","https://plottier.datosoficiales.com/resultados/PL/73/7002/CON.json"
1,8,3,30,39,4,19,10,7,8,6,3,5,20,2,3,3,12,0,6,1,0,18,8,1,3,9,8,0,0,"2023-09-03 18:40:01","19","https://plottier.datosoficiales.com/resultados/PL/756/19/CON.json"
