"totalMesas","mesasPublicadas","blancos","nulos","totalVotos","canElectores","canElectoresPublicados","nocomputados","tipCandidatura",1,3,7,10,14,15,21,23,30,33,45,777,911,"hora","horaequipo"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:33:54","01-05-2023 19:35:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:37:55","01-05-2023 19:40:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:43:55","01-05-2023 19:45:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:47:55","01-05-2023 19:50:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:53:55","01-05-2023 19:55:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 18:57:55","01-05-2023 20:00:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:03:54","01-05-2023 20:05:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:07:55","01-05-2023 20:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:13:55","01-05-2023 20:15:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:17:55","01-05-2023 20:20:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:23:55","01-05-2023 20:25:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:27:55","01-05-2023 20:30:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:33:54","01-05-2023 20:35:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:37:55","01-05-2023 20:40:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:43:54","01-05-2023 20:45:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:47:55","01-05-2023 20:50:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:53:55","01-05-2023 20:55:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 19:57:55","01-05-2023 21:00:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:03:54","01-05-2023 21:05:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:07:54","01-05-2023 21:10:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:13:54","01-05-2023 21:15:01"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:19:55","01-05-2023 21:20:08"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:23:54","01-05-2023 21:25:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:27:55","01-05-2023 21:30:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:33:55","01-05-2023 21:35:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:37:55","01-05-2023 21:40:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:43:55","01-05-2023 21:45:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:47:54","01-05-2023 21:50:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:53:55","01-05-2023 21:55:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 20:57:55","01-05-2023 22:00:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:03:55","01-05-2023 22:05:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:07:54","01-05-2023 22:10:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:13:54","01-05-2023 22:15:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:17:55","01-05-2023 22:20:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:23:55","01-05-2023 22:25:01"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:27:55","01-05-2023 22:30:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:33:54","01-05-2023 22:35:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:37:54","01-05-2023 22:40:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:43:54","01-05-2023 22:45:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:47:55","01-05-2023 22:50:02"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:53:54","01-05-2023 22:55:03"
12259,12252,68242,13240,3022946,4782940,4780033,613,1,1292079,830842,12072,41194,5871,17346,24284,4855,5262,5212,5274,3897,692663,"01-05-2023 21:57:54","01-05-2023 23:00:02"
