"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Mesa","543","CO.1.541.359.543"
"Mesa","544","CO.1.541.359.544"
"Mesa","545","CO.1.541.359.545"
"Establecimiento","ESC PTE RIVADAVIA","CO.1.541.360"
"Mesa","519","CO.1.541.360.519"
"Mesa","520","CO.1.541.360.520"
"Mesa","521","CO.1.541.360.521"
"Mesa","522","CO.1.541.360.522"
"Mesa","523","CO.1.541.360.523"
"Mesa","524","CO.1.541.360.524"
"Mesa","525","CO.1.541.360.525"
"Mesa","526","CO.1.541.360.526"
"Localidad","Villa Boedo (Circ. 5H)","CO.1.542"
"Establecimiento","ESC. MADRE MARIA DEL TRANSITO","CO.1.542.361"
"Mesa","546","CO.1.542.361.546"
"Mesa","547","CO.1.542.361.547"
"Mesa","548","CO.1.542.361.548"
"Mesa","549","CO.1.542.361.549"
"Mesa","550","CO.1.542.361.550"
"Mesa","551","CO.1.542.361.551"
"Localidad","Colinas Del Sur (Circ. 5I)","CO.1.543"
"Establecimiento","ESC.PTE. JUAN D.PERÓN","CO.1.543.362"
"Mesa","560","CO.1.543.362.560"
"Mesa","561","CO.1.543.362.561"
"Mesa","562","CO.1.543.362.562"
"Mesa","563","CO.1.543.362.563"
"Mesa","564","CO.1.543.362.564"
"Mesa","565","CO.1.543.362.565"
"Mesa","566","CO.1.543.362.566"
"Mesa","567","CO.1.543.362.567"
"Establecimiento","ESC HEROES DE MALVINAS","CO.1.543.363"
"Mesa","552","CO.1.543.363.552"
"Mesa","553","CO.1.543.363.553"
"Mesa","554","CO.1.543.363.554"
"Mesa","555","CO.1.543.363.555"
"Mesa","556","CO.1.543.363.556"
"Mesa","557","CO.1.543.363.557"
"Mesa","558","CO.1.543.363.558"
"Mesa","559","CO.1.543.363.559"
"Localidad","Alto Gral Paz (Circ. 6)","CO.1.544"
"Establecimiento","ESC  SAN RAMON NONATO","CO.1.544.364"
"Mesa","577","CO.1.544.364.577"
"Mesa","578","CO.1.544.364.578"
"Mesa","579","CO.1.544.364.579"
"Mesa","580","CO.1.544.364.580"
"Mesa","581","CO.1.544.364.581"
"Mesa","582","CO.1.544.364.582"
"Mesa","583","CO.1.544.364.583"
"Mesa","584","CO.1.544.364.584"
"Establecimiento","ESC TENIENTE GRAL ARAMBURU","CO.1.544.365"
"Mesa","568","CO.1.544.365.568"
"Mesa","569","CO.1.544.365.569"
"Mesa","570","CO.1.544.365.570"
"Mesa","571","CO.1.544.365.571"
"Mesa","572","CO.1.544.365.572"
"Mesa","573","CO.1.544.365.573"
"Mesa","574","CO.1.544.365.574"
